Player,Nation,Squad,Comp,Age,FW,MF,DF,GK,Nation_enc,Squad_enc,Comp_enc
Max Aarons,ENG,Valencia,La Liga,25.0,0,1,0,0,31,88,0
Rodrigo Abajas,ESP,Valencia,La Liga,21.0,0,0,1,0,33,88,0
James Abankwah,IRL,Udinese,Serie A,21.0,0,1,1,0,50,86,3
Keyliane Abdallah,FRA,Marseille,Ligue 1,18.0,1,0,0,0,36,57,1
Yunis Abdelhamid,MAR,Saint-Étienne,Ligue 1,37.0,0,0,1,0,67,77,1
Himad Abdelli,ALG,Angers,Ligue 1,25.0,1,1,0,0,1,1,1
Mohamed Abdelmoneim,EGY,Nice,Ligue 1,26.0,0,0,1,0,30,65,1
Ali Abdi,TUN,Nice,Ligue 1,31.0,0,1,1,0,100,65,1
Saud Abdulhamid,KSA,Roma,Serie A,25.0,0,0,1,0,61,76,3
Abel,ESP,Osasuna,La Liga,24.0,0,0,1,0,33,67,0
Nabil Aberdin,FRA,Getafe,La Liga,22.0,0,1,0,0,36,32,0
Oliver Abildgaard,DEN,Como,Serie A,28.0,0,1,0,0,27,21,3
Matthis Abline,FRA,Nantes,Ligue 1,21.0,1,0,0,0,36,62,1
Abner,BRA,Lyon,Ligue 1,24.0,0,0,1,0,12,52,1
Zakaria Aboukhlal,MAR,Toulouse,Ligue 1,25.0,1,1,0,0,67,85,1
Abdel Abqar,MAR,Alavés,La Liga,26.0,0,0,1,0,67,0,0
Tammy Abraham,ENG,Milan,Serie A,27.0,1,0,0,0,31,58,3
Federico Accornero,ITA,Genoa,Serie A,21.0,0,1,0,0,55,31,3
Francesco Acerbi,ITA,Inter,Serie A,37.0,0,0,1,0,55,39,3
Joshua Acheampong,ENG,Chelsea,Premier League,18.0,0,0,1,0,31,20,2
Akor Adams,NGA,Montpellier,Ligue 1,25.0,1,0,0,0,77,60,1
Che Adams,SCO,Torino,Serie A,28.0,1,0,0,0,90,83,3
Tyler Adams,USA,Bournemouth,Premier League,26.0,0,1,0,0,104,14,2
Junior Adamu,AUT,Freiburg,de Bundesliga,23.0,1,0,0,0,6,29,4
Tosin Adarabioyo,ENG,Chelsea,Premier League,27.0,0,0,1,0,31,20,2
